0 1 2
1 0 3
0 2 5
1 1 7
0 3 4
1 2 2
2 1 2
0 4 5
1 3 3
2 2 10
3 1 2
0 5 6
1 4 5
2 3 5
3 2 7
4 1 3
1 5 6
2 4 5
3 3 5
4 2 3
5 1 5
6 0 5
0 7 8
2 5 3
3 4 11
4 3 14
5 2 8
6 1 3
0 8 11
1 7 8
2 6 10
3 5 6
4 4 5
5 3 10
6 2 13
7 1 8
8 0 5
0 9 10
1 8 11
2 7 13
3 6 10
5 4 6
6 3 4
7 2 9
8 1 10
9 0 2
0 10 3
3 7 7
5 5 13
6 4 4
7 3 6
8 2 2
9 1 7
10 0 2
0 11 3
5 6 8
6 5 11
7 4 7
9 2 2
10 1 3
11 0 2
0 12 2
1 11 4
5 7 6
6 6 5
7 5 7
10 2 6
11 1 6
12 0 3
0 13 3
1 12 4
3 10 3
4 9 7
6 7 13
7 6 13
8 5 4
9 4 3
10 3 6
11 2 7
12 1 4
0 14 5
1 13 2
2 12 6
3 11 5
4 10 2
6 8 5
8 6 3
9 5 5
10 4 4
11 3 4
12 2 8
13 1 4
14 0 3
0 15 5
1 14 4
3 12 3
4 11 6
5 10 6
6 9 3
7 8 4
9 6 7
10 5 4
13 2 6
14 1 5
1 15 2
2 14 5
4 12 5
5 11 3
6 10 2
9 7 5
10 6 2
11 5 2
13 3 3
14 2 2
2 15 5
5 12 5
6 11 2
7 10 3
10 7 7
11 6 2
12 5 8
14 3 5
15 2 3
3 15 5
6 12 5
7 11 3
10 8 6
13 5 4
15 3 4
16 2 3
4 15 2
7 12 4
8 11 3
9 10 4
10 9 5
11 8 2
14 5 4
16 3 2
7 13 4
8 12 3
9 11 8
10 10 2
11 9 2
12 8 8
14 6 4
8 13 6
9 12 4
10 11 9
11 10 2
13 8 6
15 6 3
7 15 5
8 14 3
9 13 2
10 12 5
11 11 3
13 9 4
14 8 5
15 7 3
5 18 2
8 15 3
9 14 2
10 13 3
11 12 2
15 8 5
9 15 2
10 14 4
11 13 2
12 12 3
14 10 2
8 17 3
9 16 2
10 15 4
11 14 4
12 13 2
13 12 3
14 11 2
10 16 3
11 15 2
12 14 5
13 13 3
14 12 4
15 11 3
16 10 2
11 16 3
12 15 4
14 13 3
15 12 3
16 11 2
17 10 3
11 17 3
12 16 2
14 14 6
15 13 2
16 12 4
14 15 2
15 14 3
14 17 3
15 16 4
15 17 2
16 16 4
